QUERY_ID,QUERY_NAME,QUERY_TXT_FilePath,REPORT_ID,STANDARD_REPORT_NAME,RECURRENCE_FREQUENCY,REPORT_STATUS,NOTES
1,396forecasting,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_396forecasting.txt,,,Weekly (tues),ACTIVE,
2,categoryDashboard,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_categoryDashboard.txt,,,Weekly (tues),ACTIVE,
3,currOh,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_currOh.txt,,,Weekly (tues),ACTIVE,
4,kpiCategories,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_kpiCategories.txt,,,Weekly (tues),ACTIVE,
5,northwestPaint,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_northwestPaint.txt,,,Weekly (tues),ACTIVE,
6,ohnoCurrOH,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_ohnoCurrOH.txt,,,Weekly (tues),ACTIVE,
7,ohnoMKTunitssold,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_ohnoMKTunitssold.txt,,,Weekly (tues),ACTIVE,
8,ohnoUnitsSold,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_ohnoUnitsSold.txt,,,Weekly (tues),ACTIVE,
9,picnicTableSellthrough,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_picnicTableSellthrough.txt,,,Weekly (tues),ACTIVE,
10,ptSalesTargetPlants,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_ptSalesTargetPlants.txt,,,Weekly (tues),ACTIVE,
11,shortLumberProgram,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_shortLumberProgram.txt,,,Weekly (tues),ACTIVE,
12,skuDetail,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_skuDetail.txt,,,Weekly (tues),ACTIVE,
13,skuStoreActivation,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_skuStoreActivation.txt,,,Weekly (tues),ACTIVE,
14,storeDetail,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_storeDetail.txt,,,Weekly (tues),ACTIVE,
15,timelessWeeklysales,C:\Users\us160212\OneDrive - UniversalForestProducts\Temp - OneDrive\LiveData\query_txt\query_timelessWeeklysales.txt,,,Weekly (tues),ACTIVE,
