"SKU Nbr","Sub Class Nbr","SKU Name","Model Number +","Dept","Sub Class","Class Name","Str OH Units Wkly","Sales Units"
"1005584708","021-001-006","1/4"X12"X20" BIRCH PLYWOOD 4-PK","420510","21-LUMBER","021-001-006-PROJECT PANELS","PLYWOOD","419","347"
"174037","021-008-010","1"X4"X42" FG PRIMED PICKET","UNKNOWN","21-LUMBER","021-008-010-WHITEWOOD PICKETS","FENCING","73,452","303,771"
"1000342205","021-008-014","PRO SERIES 5 IN. X 5 IN. X 72 IN. VI","144753","21-LUMBER","021-008-014-VINYL PANELS","FENCING","0","365"
"121894","021-008-017","2X2-8FT STD/BTR ROUGH GRN CEDAR","UNKNOWN","21-LUMBER","021-008-017-DIMENSIONAL CEDAR","FENCING","",""
"1001387070","021-020-005","4X4-6FT #2 RED PT GC","107216","21-LUMBER","021-020-005-PT TIMBERS","PRESSURE TREATED/DECKING","3,120","186,592"
"1001802375","021-020-002","2X12-10FT #1 RED PT GC","137175","21-LUMBER","021-020-002-PT DIMENSIONAL LUMBER","PRESSURE TREATED/DECKING","284","7,473"
"917371","021-007-002","1-1/2" VERANDA CEDAR LATTICE SCREWS","UNKNOWN","21-LUMBER","021-007-002-LATTICE","LANDSCAPE","13,747","43,814"
"1000004824","021-020-002","2X2-8FT #1 PT CEDAR-TONE WEATHERSHLD","UNKNOWN","21-LUMBER","021-020-002-PT DIMENSIONAL LUMBER","PRESSURE TREATED/DECKING","24,487","718,515"
"362762","021-020-005","4X6-8FT ROUGH PT PP","UNKNOWN","21-LUMBER","021-020-005-PT TIMBERS","PRESSURE TREATED/DECKING","2,732","100,729"
"1001088079","021-008-018","DIS 6'X8' PT SHADOWBOX 1X6","UNKNOWN","21-LUMBER","021-008-018-EVENTS","FENCING","0","19"
"1000013843","021-020-060","UFP S/O_IP_21-20-60_PT LUMBER","UNKNOWN","21-LUMBER","021-020-060-S/O PRSSR TRTD WOOD PROD","PRESSURE TREATED/DECKING","0","21"
"1000244306","021-007-007","4 IN. X 4 IN. VINYL SOLAR LIGHT PEAR","132518","21-LUMBER","021-007-007-HANDRAIL PROGRAMS","LANDSCAPE","0","109"
"300829","021-001-006","1/4 2X4 BCX PLYWOOD","UNKNOWN","21-LUMBER","021-001-006-PROJECT PANELS","PLYWOOD","20,633","1,084,663"
"834001","021-001-006","3/4 2X4 PRESSURE TREATED PLYWOOD","UNKNOWN","21-LUMBER","021-001-006-PROJECT PANELS","PLYWOOD","13,414","457,422"
"1001730803","021-020-003","5/4"X6"X12' TROPICAL HRDWOOD DECK BD","246024","21-LUMBER","021-020-003-PT WATER REPELLANTLUMBER","PRESSURE TREATED/DECKING","684","5,402"
"1000347418","021-020-004","TRADITIONAL POST TOP FINIAL (6-PACK)","189297","21-LUMBER","021-020-004-COMPOSITE DECK/RAIL","PRESSURE TREATED/DECKING","0","599"
"560499","021-003-003","2X8-12FT #2 PRIME KD SYP","UNKNOWN","21-LUMBER","021-003-003-WIDE","DIMENSIONAL LUMBER","1,167","28,583"
"731867","021-020-010","2X4-8FT CEDAR PREMIUM S4S","UNKNOWN","21-LUMBER","021-020-010-CEDAR","PRESSURE TREATED/DECKING","13,083","243,222"
"347469","021-020-002","1-5/32X6-16FT THICK PT WEATHERSHLD","UNKNOWN","21-LUMBER","021-020-002-PT DIMENSIONAL LUMBER","PRESSURE TREATED/DECKING","17,818","768,717"
"1001241032","021-008-018","DIS 42"X8' PINE FG SPACED PNL 1X4","UNKNOWN","21-LUMBER","021-008-018-EVENTS","FENCING","1","19"
"194688","021-005-060","194-688 S/O TRIM/FACIA/BOARDS","UNKNOWN","21-LUMBER","021-005-060-S/O BOARDS","BOARDS","",""
