C_Class1_2,C_Manuf_Part_Number,C_SKU_Nbr,C_Short_Week,C_sku1,C_Sales_Units,C_sales
021-008-FENCING,141568,249148,FW 201910,249148-6'X8' DOVER PRIVACY PANEL,1213.0,90717.09
021-008-FENCING,141568,249148,FW 201909,249148-6'X8' DOVER PRIVACY PANEL,690.0,53024.74999999999
021-008-FENCING,141568,249148,FW 201947,249148-6'X8' DOVER PRIVACY PANEL,181.0,13920.489999999998
021-008-FENCING,141568,249148,FW 201843,249148-6'X8' DOVER PRIVACY PANEL,63.0,4684.399999999999
021-008-FENCING,141568,249148,FW 201805,249148-6'X8' DOVER PRIVACY PANEL,174.0,12966.440000000002
021-008-FENCING,141568,249148,FW 201850,249148-6'X8' DOVER PRIVACY PANEL,30.0,2192.71
021-008-FENCING,141568,249148,FW 202103,249148-6'X8' DOVER PRIVACY PANEL,222.0,17809.719999999998
021-008-FENCING,141568,249148,FW 202028,249148-6'X8' DOVER PRIVACY PANEL,1198.0,92498.48999999998
021-008-FENCING,141568,249148,FW 202026,249148-6'X8' DOVER PRIVACY PANEL,1448.0,110742.71999999997
021-008-FENCING,141568,249148,FW 202009,249148-6'X8' DOVER PRIVACY PANEL,1441.0,106779.46999999999
021-008-FENCING,141568,249148,FW 201912,249148-6'X8' DOVER PRIVACY PANEL,1249.0,95776.91
021-008-FENCING,141568,249148,FW 202037,249148-6'X8' DOVER PRIVACY PANEL,869.0,67065.62
021-008-FENCING,141568,249148,FW 201815,249148-6'X8' DOVER PRIVACY PANEL,1145.0,79224.02999999998
021-008-FENCING,141568,249148,FW 201944,249148-6'X8' DOVER PRIVACY PANEL,199.0,15144.97
021-008-FENCING,141568,249148,FW 201946,249148-6'X8' DOVER PRIVACY PANEL,150.0,10668.779999999999
021-008-FENCING,141568,249148,FW 201829,249148-6'X8' DOVER PRIVACY PANEL,250.0,18549.819999999996
021-008-FENCING,141568,249148,FW 201840,249148-6'X8' DOVER PRIVACY PANEL,150.0,10904.289999999999
021-008-FENCING,141568,249148,FW 201801,249148-6'X8' DOVER PRIVACY PANEL,62.0,4370.96
021-008-FENCING,141568,249148,FW 201844,249148-6'X8' DOVER PRIVACY PANEL,112.0,8575.229999999998
021-008-FENCING,141568,249148,FW 201904,249148-6'X8' DOVER PRIVACY PANEL,72.0,5304.709999999999
021-008-FENCING,141568,249148,FW 202102,249148-6'X8' DOVER PRIVACY PANEL,179.0,14178.109999999997
021-008-FENCING,141568,249148,FW 202035,249148-6'X8' DOVER PRIVACY PANEL,695.0,52285.770000000004
021-008-FENCING,141568,249148,FW 202027,249148-6'X8' DOVER PRIVACY PANEL,859.0,66064.42
021-008-FENCING,141568,249148,FW 201928,249148-6'X8' DOVER PRIVACY PANEL,1586.0,120461.90999999996
021-008-FENCING,141568,249148,FW 202030,249148-6'X8' DOVER PRIVACY PANEL,1220.0,94517.40000000001
021-008-FENCING,141568,249148,FW 201923,249148-6'X8' DOVER PRIVACY PANEL,1483.0,111636.32999999997
021-008-FENCING,141568,249148,FW 201920,249148-6'X8' DOVER PRIVACY PANEL,1363.0,103998.22
021-008-FENCING,141568,249148,FW 201816,249148-6'X8' DOVER PRIVACY PANEL,1218.0,79841.87000000001
021-008-FENCING,141568,249148,FW 201802,249148-6'X8' DOVER PRIVACY PANEL,29.0,1979.8000000000002
021-008-FENCING,141568,249148,FW 201825,249148-6'X8' DOVER PRIVACY PANEL,454.0,34241.75999999999
021-008-FENCING,141568,249148,FW 201907,249148-6'X8' DOVER PRIVACY PANEL,489.0,35153.31999999999
021-008-FENCING,141568,249148,FW 201849,249148-6'X8' DOVER PRIVACY PANEL,26.0,2071.62
021-008-FENCING,141568,249148,FW 201903,249148-6'X8' DOVER PRIVACY PANEL,17.0,1147.0500000000002
021-008-FENCING,141568,249148,FW 202022,249148-6'X8' DOVER PRIVACY PANEL,1949.0,142456.97999999998
021-008-FENCING,141568,249148,FW 202038,249148-6'X8' DOVER PRIVACY PANEL,540.0,42884.280000000006
021-008-FENCING,141568,249148,FW 201941,249148-6'X8' DOVER PRIVACY PANEL,425.0,32239.699999999997
021-008-FENCING,141568,249148,FW 201828,249148-6'X8' DOVER PRIVACY PANEL,595.0,44233.329999999994
021-008-FENCING,141568,249148,FW 201823,249148-6'X8' DOVER PRIVACY PANEL,380.0,29318.449999999997
021-008-FENCING,141568,249148,FW 201817,249148-6'X8' DOVER PRIVACY PANEL,1378.0,92107.59999999998
021-008-FENCING,141568,249148,FW 201749,249148-6'X8' DOVER PRIVACY PANEL,-5.0,-400.6
021-008-FENCING,141568,249148,FW 201845,249148-6'X8' DOVER PRIVACY PANEL,19.0,1649.0600000000006
021-008-FENCING,141568,249148,FW 201820,249148-6'X8' DOVER PRIVACY PANEL,861.0,62956.520000000004
021-008-FENCING,141568,249148,FW 201851,249148-6'X8' DOVER PRIVACY PANEL,72.0,5185.829999999999
021-008-FENCING,141568,249148,FW 202052,249148-6'X8' DOVER PRIVACY PANEL,359.0,26943.04
021-008-FENCING,141568,249148,FW 202051,249148-6'X8' DOVER PRIVACY PANEL,522.0,39797.03000000003
021-008-FENCING,141568,249148,FW 202005,249148-6'X8' DOVER PRIVACY PANEL,1214.0,89351.95999999999
021-008-FENCING,141568,249148,FW 201937,249148-6'X8' DOVER PRIVACY PANEL,933.0,70031.47
021-008-FENCING,141568,249148,FW 201813,249148-6'X8' DOVER PRIVACY PANEL,853.0,62363.20000000001
021-008-FENCING,141568,249148,FW 201751,249148-6'X8' DOVER PRIVACY PANEL,8.0,644.97
021-008-FENCING,141568,249148,FW 201905,249148-6'X8' DOVER PRIVACY PANEL,44.0,3269.8
021-008-FENCING,141568,249148,FW 202025,249148-6'X8' DOVER PRIVACY PANEL,1273.0,98170.72
021-008-FENCING,141568,249148,FW 202012,249148-6'X8' DOVER PRIVACY PANEL,2846.0,214972.71
021-008-FENCING,141568,249148,FW 202015,249148-6'X8' DOVER PRIVACY PANEL,3367.0,250163.73999999996
021-008-FENCING,141568,249148,FW 201931,249148-6'X8' DOVER PRIVACY PANEL,1379.0,105170.20999999999
021-008-FENCING,141568,249148,FW 202047,249148-6'X8' DOVER PRIVACY PANEL,289.0,22997.899999999998
021-008-FENCING,141568,249148,FW 201940,249148-6'X8' DOVER PRIVACY PANEL,536.0,42761.259999999995
021-008-FENCING,141568,249148,FW 201921,249148-6'X8' DOVER PRIVACY PANEL,1386.0,104958.93000000001
021-008-FENCING,141568,249148,FW 202050,249148-6'X8' DOVER PRIVACY PANEL,491.0,39605.880000000005
021-008-FENCING,141568,249148,FW 202001,249148-6'X8' DOVER PRIVACY PANEL,182.0,14252.809999999998
021-008-FENCING,141568,249148,FW 201948,249148-6'X8' DOVER PRIVACY PANEL,214.0,15776.62
021-008-FENCING,141568,249148,FW 201834,249148-6'X8' DOVER PRIVACY PANEL,325.0,23766.039999999997
021-008-FENCING,141568,249148,FW 201824,249148-6'X8' DOVER PRIVACY PANEL,587.0,44519.50999999998
021-008-FENCING,141568,249148,FW 201826,249148-6'X8' DOVER PRIVACY PANEL,393.0,29528.159999999993
021-008-FENCING,141568,249148,FW 201809,249148-6'X8' DOVER PRIVACY PANEL,366.0,25869.159999999996
021-008-FENCING,141568,249148,FW 201832,249148-6'X8' DOVER PRIVACY PANEL,289.0,21856.739999999994
021-008-FENCING,141568,249148,FW 201902,249148-6'X8' DOVER PRIVACY PANEL,97.0,7150.92
021-008-FENCING,141568,249148,FW 202034,249148-6'X8' DOVER PRIVACY PANEL,1013.0,76633.93000000001
021-008-FENCING,141568,249148,FW 201922,249148-6'X8' DOVER PRIVACY PANEL,1470.0,113211.93
021-008-FENCING,141568,249148,FW 202043,249148-6'X8' DOVER PRIVACY PANEL,726.0,54870.98999999999
021-008-FENCING,141568,249148,FW 202040,249148-6'X8' DOVER PRIVACY PANEL,956.0,73001.88999999998
021-008-FENCING,141568,249148,FW 201915,249148-6'X8' DOVER PRIVACY PANEL,1866.0,139847.16999999998
021-008-FENCING,141568,249148,FW 202045,249148-6'X8' DOVER PRIVACY PANEL,622.0,47777.619999999995
021-008-FENCING,141568,249148,FW 201835,249148-6'X8' DOVER PRIVACY PANEL,370.0,27422.14
021-008-FENCING,141568,249148,FW 201831,249148-6'X8' DOVER PRIVACY PANEL,545.0,40411.91999999999
021-008-FENCING,141568,249148,FW 201808,249148-6'X8' DOVER PRIVACY PANEL,78.0,6026.91
