C_Class_Nbr,C_Short_Week,C_Sales_Units,C_Str_OH_units_dly,C_sales
021-004,FW 202101,6197.0,62988.0,42211.45999999996
021-006,FW 201935,1015.0,,5944.210000000001
021-005,FW 201927,272523.02,,780659.5199999998
027-031,FW 202029,,,
022-010,FW 201810,437.0,,11052.039999999995
021-090,FW 202001,1.0,,90.0
021-020,FW 201915,2428991.0300000003,,19319208.13000004
022-012,FW 201915,4030.0,,45629.689999999966
021-003,FW 201913,57842.0,,179123.13999999998
021-003,FW 201944,51378.0,,145275.61000000007
021-002,FW 201850,328.0,,4259.59
021-006,FW 201927,1130.0,,6220.550000000001
028-026,FW 202041,,,
021-003,FW 202022,90153.0,,279314.81999999966
022-012,FW 202008,450.0,,9177.699999999995
021-015,FW 201801,106.0,,6127.690000000001
022-004,FW 201941,10.0,,10091.25
028-005,FW 201915,2.0,,360.0
021-020,FW 201827,1643922.0899999999,,15160014.24000001
021-008,FW 202041,904995.0,,3131025.4000000004
021-002,FW 202044,3852.0,,33078.46000000001
022-010,FW 201909,70.0,,2523.52
021-002,FW 201847,534.0,,3276.22
021-018,FW 202019,2757.0,,266242.4300000001
021-006,FW 201816,781.0,,5042.990000000001
021-013,FW 201815,,,
028-009,FW 202019,5.0,,224.89999999999998
021-013,FW 201839,,,
028-023,FW 201944,3210.0,,20578.989999999834
021-002,FW 201941,2524.0,,31895.620000000006
021-013,FW 201806,45.0,,83.24
022-004,FW 201931,1.0,,29.43
028-026,FW 201911,32.0,,3695.3199999999997
021-007,FW 202050,284552.0,3331431.52,1441235.2100000312
021-004,FW 202102,4915.0,64997.0,33395.799999999996
021-005,FW 202038,403085.67,,1364761.2299999986
027-031,FW 201924,-1.0,,-15.06
022-009,FW 202034,64183.0,,309135.330000001
022-010,FW 202045,151.0,,4473.410000000001
021-005,FW 201905,266946.98,,844180.3400000007
021-013,FW 201804,39.0,,219.73999999999998
021-090,FW 201824,5.0,,537.0
021-004,FW 201823,4649.0,,13795.74
021-004,FW 202012,8560.0,,37598.420000000006
021-017,FW 202037,2128.0,,12955.0
021-001,FW 201847,110768.0,,1308418.4999999974
030-027,FW 202009,,,
021-090,FW 201937,1.0,,153.31
021-008,FW 201827,724167.0,,2642367.5300000007
021-003,FW 201808,40547.0,,405666.65999999974
028-023,FW 201937,7834.0,,54480.37000000052
021-007,FW 202005,375828.0,,1607875.8800000006
021-006,FW 201811,1268.0,,7777.620000000003
021-005,FW 202032,369406.82,,1272460.3199999998
022-010,FW 201848,176.0,,4713.759999999999
025-001,FW 201905,2.0,,165.36
021-020,FW 201836,1571227.0,,12991381.760000013
021-003,FW 201752,19582.0,,132744.97000000003
021-013,FW 201908,,,
028-026,FW 202004,20.0,,732.45
022-004,FW 201942,,,
022-010,FW 202020,121.0,,3566.76
028-026,FW 201928,604.0,,52680.02999999997
021-015,FW 201945,48.0,,3388.82
021-090,FW 201901,0.0,,-74.99000000000002
021-013,FW 201926,,,
021-090,FW 202023,60.0,,3670.0
021-006,FW 202004,1154.0,,5747.5599999999995
021-006,FW 201843,7717.0,,17159.579999999998
022-012,FW 202047,2374.0,,28972.659999999967
027-031,FW 201813,17955.0,,319129.8700000095
021-007,FW 201905,259100.0,,1123063.6499999994
021-005,FW 202029,365289.57,,1188777.800000002
027-031,FW 201950,1.0,,0.01
021-007,FW 202008,445465.0,,1890527.1000000013
021-003,FW 201749,13016.0,,100251.80999999998
021-005,FW 201848,190873.33,,629473.0899999999
021-006,FW 202035,22163.0,,105378.75
028-023,FW 201913,6610.0,,115694.8999999983
022-009,FW 201845,4514.0,,29953.889999999996
021-013,FW 201810,-2.0,,-19.96
021-020,FW 201906,1484830.99,,11447832.700000003
021-008,FW 201750,660728.0,,1890660.8499999999
021-006,FW 201815,938.0,,5925.4400000000005
022-004,FW 202031,9.0,,9641.25
021-013,FW 201928,,,
021-005,FW 201821,267928.98,,795088.1399999997
021-005,FW 201807,275013.26,,820752.2199999996
022-010,FW 202033,211.0,,5623.820000000002
021-013,FW 201838,,,
022-010,FW 202017,95.0,,2665.8199999999997
022-014,FW 201804,0.0,,0.0
021-015,FW 201813,122.0,,7900.490000000001
028-023,FW 201830,1831.0,,34051.729999999756
028-028,FW 201802,14.0,,729.4000000000001
021-003,FW 201849,40760.0,,121395.48999999996
021-003,FW 201847,40740.0,,138179.92000000004
021-007,FW 201825,598622.0,,2451472.1500000004
021-020,FW 201950,1075760.0,,7599358.78
028-028,FW 202005,39.0,,2360.95
027-031,FW 202002,-1.0,,-0.01
028-028,FW 201816,29.0,,2038.4900000000011
028-026,FW 202017,17.0,,557.71
021-020,FW 201806,1445753.06,,11556729.140000002
021-018,FW 202014,1904.0,,183944.0000000001
022-004,FW 201949,9.0,,9641.25
021-005,FW 202102,345963.5399999999,1843692.85,1327795.2499999946
021-005,FW 201936,289358.66000000003,,828298.37
021-006,FW 202002,808.0,,4344.9800000000005
021-015,FW 201852,95.0,,6754.369999999998
028-023,FW 202046,5470.0,,33452.689999999784
021-090,FW 202025,5.0,,799.74
022-012,FW 201925,3095.0,,32024.279999999984
028-028,FW 202033,139.0,,9491.839999999997
