C_SKU_Nbr,C_Short_Week,C_d_Store,C_d_Store_Nbr,C_sku1,C_Sales_Units,C_Str_OH_units_wkly,C_sales
1005559956,FW 202049,1538-NE COLORADO SPRINGS,1538,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",4.0,184.0,87.92
1005559956,FW 202049,1518-SW COLORADO SPRINGS,1518,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",3.0,461.0,65.94
1005559956,FW 202046,1551-NORTH AURORA,1551,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",1.0,244.0,21.98
1005559956,FW 202042,1515-GREELEY,1515,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",55.0,36.0,1208.8999999999999
1005559956,FW 202026,"1517-WESTMINSTER, CO",1517,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",7.0,251.0,153.86
1005559955,FW 202037,1549-JEFFERSON COUNTY,1549,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,250.0,
1005559956,FW 202052,1540-HIGHLANDS RANCH,1540,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,241.0,
1005559956,FW 202030,1524-BROOMFIELD,1524,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,263.0,
1005559956,FW 202030,1540-HIGHLANDS RANCH,1540,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,262.0,
1005559955,FW 202028,"1501-AURORA, CO",1501,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,262.0,
1005559956,FW 202044,1511-PUEBLO,1511,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,264.0,
1005559955,FW 202040,1520-BEAR VALLEY,1520,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,264.0,
1005559956,FW 202102,"1514-LAKEWOOD, CO",1514,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,234.0,
1005559955,FW 202020,1503-THORNTON,1503,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,264.0,
1005559956,FW 202038,1529-LOVELAND,1529,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,232.0,
1005559956,FW 202102,1532-STAPLETON,1532,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,243.0,
1005559956,FW 202102,1546-BOULDER,1546,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,68.0,
1005559956,FW 202037,"1514-LAKEWOOD, CO",1514,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,240.0,
1005559956,FW 202049,1503-THORNTON,1503,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,231.0,
1005559956,FW 202031,1504-COLORADO SPRINGS,1504,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,263.0,
1005559956,FW 202021,1518-SW COLORADO SPRINGS,1518,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,264.0,
1005559956,FW 202037,1529-LOVELAND,1529,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",1.0,232.0,21.98
1005559956,FW 202025,1552-FIRESTONE,1552,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,264.0,
1005559956,FW 202040,1550-LAKEWOOD-NORTH,1550,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,251.0,
1005559955,FW 202101,1510-ACADEMY BLVD,1510,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,212.0,
1005559956,FW 202040,"1501-AURORA, CO",1501,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,323.0,
1005559955,FW 202038,"1517-WESTMINSTER, CO",1517,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",-28.0,286.0,-434.0
1005559955,FW 202045,1518-SW COLORADO SPRINGS,1518,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",5.0,259.0,109.9
1005559955,FW 202033,1532-STAPLETON,1532,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",1.0,261.0,21.98
1005559955,FW 202036,1505-SANTA FE,1505,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",1.0,218.0,21.98
1005559956,FW 202032,1519-LITTLETON,1519,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,261.0,
1005559956,FW 202043,1519-LITTLETON,1519,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,260.0,
1005559956,FW 202024,1524-BROOMFIELD,1524,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,264.0,
1005559955,FW 202032,1549-JEFFERSON COUNTY,1549,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",2.0,262.0,43.96
1005559956,FW 202027,1550-LAKEWOOD-NORTH,1550,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,264.0,
1005559955,FW 202051,1552-FIRESTONE,1552,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",2.0,247.0,43.96
1005559955,FW 202027,1510-ACADEMY BLVD,1510,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,264.0,
1005559956,FW 202042,1519-LITTLETON,1519,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,260.0,
1005559956,FW 202019,1519-LITTLETON,1519,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,0.0,
1005559956,FW 202035,1529-LOVELAND,1529,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",1.0,233.0,19.78
1005559955,FW 202044,1515-GREELEY,1515,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",1.0,79.0,21.98
1005559955,FW 202049,1507-DENVER SW,1507,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,248.0,
1005559955,FW 202048,1503-THORNTON,1503,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,202.0,
1005559955,FW 202046,1521-LONGMONT,1521,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,238.0,
1005559956,FW 202031,"1514-LAKEWOOD, CO",1514,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",1.0,249.0,19.78
1005559956,FW 202032,1516-PARKER,1516,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,257.0,
1005559956,FW 202035,1532-STAPLETON,1532,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,249.0,
1005559955,FW 202035,1544-N FT COLLINS,1544,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",1.0,223.0,21.98
1005559956,FW 202026,1544-N FT COLLINS,1544,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",5.0,251.0,109.9
1005559956,FW 202019,1549-JEFFERSON COUNTY,1549,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,0.0,
1005559955,FW 202052,1551-NORTH AURORA,1551,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,264.0,
1005559955,FW 202036,1507-DENVER SW,1507,"1005559955-3/8"" X 8"" X 16' LP EMB MAHOG SIDNG",,246.0,
1005559956,FW 202034,1507-DENVER SW,1507,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",1.0,184.0,21.98
1005559956,FW 202040,1546-BOULDER,1546,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",5.0,133.0,109.9
1005559956,FW 202043,1550-LAKEWOOD-NORTH,1550,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,251.0,
1005559956,FW 202022,1552-FIRESTONE,1552,"1005559956-3/8"" X 8"" X 16' LP CEDAR EMBD SIDING",,264.0,
