C_SKU_Nbr,C_d_Market_Nbr,C_Sales_Units,C_sales
1000043814,0147,16.0,1445.5300000000002
433183,0578,1175.0,2276.7500000000005
1004718703,0579,3.0,89.79000000000002
1004184121,0111,14.0,514.0200000000001
1001754130,0268,929.0,37900.58999999997
917371,0014,184.0,576.8900000000002
1002185336,0463,124.0,531.71
1002185331,0268,142.0,479.2400000000001
1002185331,0609,141.0,416.68999999999994
1001215929,0023,877.0,23674.579999999856
1001215929,0536,93.0,3329.5800000000054
461653,0421,14.0,5.63
601065,0576,99.0,4996.809999999999
103078,0392,936.0,16404.720000000045
824670,0518,807.0,2171.239999999999
411310,0503,381.0,3569.9900000000016
249148,0314,372.0,26671.97999999997
1000032455,0593,8.0,236.61999999999998
300969,0340,198.0,4172.689999999999
1002625925,0582,95.0,92.15
1002185336,0414,131.0,590.1199999999999
292075,0112,,
1005710701,0050,16.0,1463.7
1005447571,0357,334.0,5734.619999999993
439588,0471,10318.0,13798.730000000032
555450,0357,374.0,2921.3999999999974
1002185326,0349,902.0,1351.5999999999997
315412,0602,1302.0,2832.5599999999968
1002275152,0127,365.0,2007.1199999999997
1004865236,0414,0.0,0.0
1005415154,0089,18.0,881.76
315110,0503,67.0,2764.1900000000005
1004718833,0077,43.0,1120.94
430269,0593,219.0,3449.3600000000024
465511,0196,733.0,861.3799999999991
1002185331,0063,2535.0,9120.120000000026
1003933836,0005,350.0,6368.759999999984
1000032455,0226,90.0,2368.29
1000032455,0143,855.0,33365.10999999999
1001729059,0300,157.0,1563.8600000000004
1005011955,0113,211.0,3687.5999999999985
1005011955,0416,8.0,142.16
778506,0111,227.0,3214.9300000000017
155400,0591,1523.0,8980.539999999986
1001349041,0357,,
1000012648,0609,104.0,1405.5500000000009
430400,0304,30803.0,31280.799999999992
1002185326,0518,235.0,378.7300000000001
168793,0602,1864.0,22120.839999999993
1000032541,0314,50.0,494.5
440626,0097,1411.0,4177.080000000004
778506,0577,118.0,1684.3900000000003
1001283615,0097,88.0,583.4399999999998
1003620564,0536,186.0,1295.8599999999992
743748,0023,996.0,16250.000000000087
1000012648,0599,363.0,4993.979999999998
958719,0186,413.0,6985.050000000009
430269,0594,219.0,3070.9199999999983
1005427985,0023,729.0,4473.200000000006
743748,0266,281.0,3657.020000000007
1001724066,0577,9.0,51.92999999999999
254576,0533,68.0,1522.8600000000001
440542,0481,164.0,2781.4800000000014
563923,0513,19.0,75.42999999999999
430792,0268,4871.0,4471.91
1002275152,0416,93.0,518.08
1001101224,0604,133.0,1256.1800000000003
1001729059,0577,17.0,157.66000000000003
386668,0106,323.0,1627.6199999999985
1002855788,0579,181.0,585.2099999999998
1002185329,0609,188.0,444.86
1002185329,0471,1147.0,2769.5199999999995
1002275150,0112,3242.0,12755.170000000031
1001723869,0086,22.0,3597.359999999999
1002275152,0418,70.0,376.1900000000001
958719,0249,655.0,8855.389999999998
1002185329,0186,1111.0,2796.699999999999
354221,0335,992.0,7740.809999999943
378739,0127,286.0,5990.00999999999
1002275152,0106,2224.0,12206.019999999988
1000043070,0086,200.0,18950.89999999997
1001311054,0335,1976.0,1894.440000000004
112345,0036,2281.0,51155.06000000133
1001676869,0086,229.0,7131.519999999995
777683,0570,230.0,2139.680000000001
925778,0414,77.0,620.3999999999999
301587,0593,76.0,405.80000000000007
1002625925,0577,392.0,372.62000000000006
1000004865,0421,3804.0,5504.909999999996
482002,0421,11.0,175.78
1000000560,0570,165.0,12087.119999999997
1005011955,0147,342.0,5995.420000000008
1005447639,0249,340.0,5950.599999999978
619375,0268,627.0,2648.1499999999996
778459,0143,82.0,2092.8300000000004
103095,0268,192.0,4367.19999999999
1000004728,0421,2696.0,21764.839999999956
440928,0086,1175.0,29944.80000000043
925877,0226,17.0,182.34999999999994
1005710701,0300,2.0,199.96
1000032455,0591,41.0,811.5900000000001
1000049026,0093,,
300810,0335,529.0,3001.4300000000044
914584,0582,2477.0,5704.9
461487,0063,2317.0,12918.179999999955
347391,0605,1719.0,16357.369999999999
1001818260,0580,241.0,2405.1700000000005
1002185336,0416,44.0,170.25000000000006
300853,0226,100.0,1407.410000000002
1004183704,0604,192.0,372.0300000000001
294895,0578,186.0,485.14000000000004
1001283617,0026,107.0,696.0499999999997
460788,0414,3.0,0.56
1003933833,0005,778.0,8783.009999999987
1002341976,0034,6684.0,138509.68999999922
440542,0057,2438.0,42179.1400000001
1001860786,0579,37.0,554.26
378739,0594,28.0,579.6300000000001
1001101228,0593,236.0,3203.19
1002341934,0579,785.0,10066.539999999995
1002302295,0314,100.0,1525.28
286503,0226,115.0,4255.1900000000005
1005143506,0540,1.0,119.98
1004718833,0034,18.0,1559.14
1002185336,0036,4137.0,20049.40999999998
164704,0197,3744.0,6792.189999999992
300810,0034,9849.0,57980.03999999877
385069,0191,2140.0,14199.439999999957
1002341955,0591,274.0,4481.77
1004718703,0304,20.0,629.52
1004183704,0026,5828.0,11397.900000000001
163613,0605,875.0,7149.8100000000195
1003131893,0604,5.0,69.9
958751,0518,14.0,391.86
1002185329,0602,191.0,451.50000000000017
440572,0089,1127.0,33473.41000000013
917371,0335,45.0,142.64999999999998
1002275171,0364,454.0,1474.05
1002185331,0591,234.0,749.8500000000004
926009,0111,60.0,640.6199999999999
1000049026,0129,,
219743,0373,65.0,895.6999999999994
103064,0023,879.0,9939.910000000018
1002854732,0602,93.0,426.6499999999999
778506,0588,67.0,995.0200000000001
778506,0576,145.0,2125.3
738111,0097,240.0,11761.06999999999
914335,0342,78.0,226.47999999999996
1001753906,0471,2789.0,27451.029999999988
149671,0599,381.0,6621.959999999996
300918,0266,303.0,6873.769999999974
260691,0588,266.0,7461.070000000001
1005710701,0357,2.0,199.96
1004718703,0086,0.0,-45.0
1001311054,0089,16698.0,16027.959999999957
112345,0392,491.0,10309.909999999974
1001349041,0143,,
430297,0593,145.0,3541.2500000000014
1002185329,0605,606.0,1370.9600000000007
385069,0416,24.0,167.28
1001283617,0034,463.0,3045.809999999999
1001687555,0093,5.0,163.85000000000002
295639,0143,215.0,1035.6900000000005
333377,0063,116.0,3732.990000000001
1002185336,0314,467.0,1834.8900000000015
1001687557,0093,15.0,103.19999999999999
1001753877,0576,4078.0,32378.999999999967
1001724066,0342,7.0,38.64999999999999
440928,0310,168.0,5084.21
1001723869,0143,12.0,2022.64
926009,0023,185.0,1924.949999999999
1004183704,0602,255.0,494.9700000000001
300888,0335,999.0,7228.839999999992
1003364829,0266,326.0,1683.1699999999994
565705,0106,968.0,4884.790000000028
430297,0314,233.0,5816.359999999998
1002185331,0364,161.0,481.7000000000001
1001753998,0591,1113.0,18758.229999999978
300888,0009,1421.0,9470.999999999876
300888,0063,2245.0,17609.409999999945
905178,0604,177.0,1615.82
925778,0097,1126.0,7865.360000000038
1001283615,0212,31.0,187.30000000000004
1000040067,0392,237.0,2070.8100000000013
1002185331,0097,1109.0,3296.8399999999947
1002302294,0416,79.0,649.8100000000001
1002922383,0591,143.0,4068.3299999999995
112345,0026,1240.0,27131.550000000378
778506,0578,183.0,2680.4800000000014
