C_Merch_Vendor_Nbr,C_SKU_Nbr,C_d_Store,C_d_Store_Nbr,C_sku1,C_Sales_Units,C_sales
769444,1005880745,6942-CEDARTOWN,6942,1005880745-2X12-4FT PRE-CUT LUMBER,24.0,228.16
769444,1002854863,1529-LOVELAND,1529,1002854863-2X4-4 PREM SYP GC RED PT WSHLD,384.0,1618.34
769444,1005894240,0531-ROCKWALL,0531,1005894240-2X4-2FT PREM SYP GC PT WSHLD,216.0,556.2799999999999
769444,1005880745,0742-CHATTANOOGA,0742,1005880745-2X12-4FT PRE-CUT LUMBER,21.0,217.07
769444,1005894240,6548-KELLER,6548,1005894240-2X4-2FT PREM SYP GC PT WSHLD,172.0,438.78000000000003
769444,1005880745,"8413-JASPER, GA",8413,1005880745-2X12-4FT PRE-CUT LUMBER,42.0,427.00999999999993
769444,1002854865,1516-PARKER,1516,1002854865-2X6-4 PREM SYP GC RED PT WSHLD,329.0,1849.1400000000003
769444,1005880745,0174-DAWSONVILLE,0174,1005880745-2X12-4FT PRE-CUT LUMBER,21.0,229.20000000000002
769444,1002854867,3105-KALISPELL,3105,1002854867-5/4X6-4 PREM SYP AG RED PT WSHLD,64.0,373.7300000000001
769444,1005880726,1750-BLAIRSVILLE,1750,1005880726-2X10-4FT PRE-CUT LUMBER,23.0,156.76
769444,1002854863,1550-LAKEWOOD-NORTH,1550,1002854863-2X4-4 PREM SYP GC RED PT WSHLD,356.0,1565.5099999999995
769444,1002854866,1538-NE COLORADO SPRINGS,1538,1002854866-1X4-4 APP GRD PINE AG RED PT,743.0,2446.689999999996
769444,1005894240,8951-ROWLETT,8951,1005894240-2X4-2FT PREM SYP GC PT WSHLD,-2.0,-4.54
769444,1002854866,1510-ACADEMY BLVD,1510,1002854866-1X4-4 APP GRD PINE AG RED PT,424.0,1402.9699999999996
769444,1002854867,1545-STERLING,1545,1002854867-5/4X6-4 PREM SYP AG RED PT WSHLD,266.0,1416.7100000000005
769444,1005880697,0174-DAWSONVILLE,0174,1005880697-2X8-4FT PRE-CUT LUMBER,20.0,120.86999999999999
769444,1002854863,1540-HIGHLANDS RANCH,1540,1002854863-2X4-4 PREM SYP GC RED PT WSHLD,872.0,3544.3999999999996
769444,1005880745,6572-FLOWER MOUND,6572,1005880745-2X12-4FT PRE-CUT LUMBER,5.0,50.05
769444,1002854867,1506-LOUISVILLE,1506,1002854867-5/4X6-4 PREM SYP AG RED PT WSHLD,208.0,1071.4600000000003
769444,1005880726,0507-GRAND PRAIRIE,0507,1005880726-2X10-4FT PRE-CUT LUMBER,13.0,80.03999999999999
769444,1005880745,0589-LEMMON AVE,0589,1005880745-2X12-4FT PRE-CUT LUMBER,17.0,168.58999999999997
769444,1002854863,3106-HELENA,3106,1002854863-2X4-4 PREM SYP GC RED PT WSHLD,322.0,1510.1499999999996
769444,1002854863,"1514-LAKEWOOD, CO",1514,1002854863-2X4-4 PREM SYP GC RED PT WSHLD,179.0,780.77
769444,1005894240,6562-THE COLONY,6562,1005894240-2X4-2FT PREM SYP GC PT WSHLD,119.0,302.6
769444,1002854866,1502-ARVADA,1502,1002854866-1X4-4 APP GRD PINE AG RED PT,530.0,1755.6999999999982
769444,1002854866,1520-BEAR VALLEY,1520,1002854866-1X4-4 APP GRD PINE AG RED PT,442.0,1430.2099999999987
769444,1005880726,0551-W PLANO,0551,1005880726-2X10-4FT PRE-CUT LUMBER,80.0,569.3300000000002
769444,1002854867,1551-NORTH AURORA,1551,1002854867-5/4X6-4 PREM SYP AG RED PT WSHLD,276.0,1537.6299999999997
769444,1005880745,6562-THE COLONY,6562,1005880745-2X12-4FT PRE-CUT LUMBER,4.0,34.46
769444,1005880697,6557-NORTH IRVING,6557,1005880697-2X8-4FT PRE-CUT LUMBER,111.0,680.2399999999999
769444,1002854863,1513-GRAND JUNCTION,1513,1002854863-2X4-4 PREM SYP GC RED PT WSHLD,377.0,1574.84
769444,1002854863,"1517-WESTMINSTER, CO",1517,1002854863-2X4-4 PREM SYP GC RED PT WSHLD,187.0,779.1400000000001
769444,1002854863,3101-BILLINGS,3101,1002854863-2X4-4 PREM SYP GC RED PT WSHLD,314.0,1365.0399999999997
769444,1002854866,6005-GILLETTE,6005,1002854866-1X4-4 APP GRD PINE AG RED PT,355.0,1156.0699999999995
769444,1005880745,0770-N CHATTANOOGA,0770,1005880745-2X12-4FT PRE-CUT LUMBER,38.0,372.04999999999995
769444,1005880726,0151-PAULDING COUNTY,0151,1005880726-2X10-4FT PRE-CUT LUMBER,26.0,192.50000000000003
769444,1002854865,6002-CHEYENNE,6002,1002854865-2X6-4 PREM SYP GC RED PT WSHLD,134.0,844.2400000000001
769444,1005880697,1750-BLAIRSVILLE,1750,1005880697-2X8-4FT PRE-CUT LUMBER,10.0,51.4
769444,1005894240,0133-CARTERSVILLE,0133,1005894240-2X4-2FT PREM SYP GC PT WSHLD,32.0,80.74
769444,1005880745,8521-WHITE SETTLEMENT,8521,1005880745-2X12-4FT PRE-CUT LUMBER,19.0,226.87
769444,1002854867,1552-FIRESTONE,1552,1002854867-5/4X6-4 PREM SYP AG RED PT WSHLD,91.0,502.2
769444,1005880745,6940-POWDER SPRINGS,6940,1005880745-2X12-4FT PRE-CUT LUMBER,7.0,64.07
769444,1002854866,3501-EUBANK,3501,1002854866-1X4-4 APP GRD PINE AG RED PT,591.0,1967.3999999999978
769444,1002854866,1506-LOUISVILLE,1506,1002854866-1X4-4 APP GRD PINE AG RED PT,119.0,392.0300000000001
769444,1002854865,"1517-WESTMINSTER, CO",1517,1002854865-2X6-4 PREM SYP GC RED PT WSHLD,147.0,804.97
769444,1002854867,3101-BILLINGS,3101,1002854867-5/4X6-4 PREM SYP AG RED PT WSHLD,374.0,2135.0400000000004
81537,1003620724,6411-PONCE,6411,1003620724-2X4-4 PREM SYP AG PT WSHLD,291.0,1674.7500000000005
769444,1002854866,1512-FT COLLINS,1512,1002854866-1X4-4 APP GRD PINE AG RED PT,343.0,1125.5399999999995
769444,1002854867,1544-N FT COLLINS,1544,1002854867-5/4X6-4 PREM SYP AG RED PT WSHLD,208.0,1142.6299999999994
769444,1002854865,3514-GALLUP,3514,1002854865-2X6-4 PREM SYP GC RED PT WSHLD,143.0,897.8799999999999
769444,1002854865,1505-SANTA FE,1505,1002854865-2X6-4 PREM SYP GC RED PT WSHLD,141.0,816.4100000000002
769444,1002854863,6004-SHERIDAN,6004,1002854863-2X4-4 PREM SYP GC RED PT WSHLD,292.0,1289.66
