C_Class_Name,C_Model_Number,C_SKU_Name,C_SKU_Nbr,C_Sub_Class_2,C_Sub_Class_Nbr,C_dept_2,C_Sales_Units,C_Str_OH_units_wkly
FENCING,UNKNOWN,DIS DURACOLOR 8' TREATED RAIL ROUND,1001220436,021-008-018-EVENTS,021-008-018,21-LUMBER,87.0,0.0
LANDSCAPE,UNKNOWN,"6""X6"" VERONA PYRAMID POST CAP",126012,021-007-006-SPECIALTY,021-007-006,21-LUMBER,7024.0,
FENCING,126111,ADJUSTABLE VINYL FENCE POST BASE TRI,1000342456,021-008-002-REDWOOD PICKETS,021-008-002,21-LUMBER,2081.0,0.0
FENCING,128017,4'X8' LAFAYETTE SPACED PICKET KIT,1000342466,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,946.0,0.0
BOARDS,UNKNOWN,UFP_S/O_21-5-62_UTILITYBOARDS,1000247217,021-005-062-UTILITY BOARDS,021-005-062,21-LUMBER,45647.0,1.0
FENCING,161665,2-HOLE WRC COLOR-TREATED CORNER POST,1000000911,021-008-012-POST/RAIL,021-008-012,21-LUMBER,443.0,0.0
STUDS,UNKNOWN,"2X4-96"" KD YELLOW PINE STUD",232971,021-006-002-8FT STUDS,021-006-002,21-LUMBER,8678.0,565.0
PRESSURE TREATED/DECKING,102571,6X6-14FT #2 PT GC,1003244016,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,121.0,25.0
BOARDS,UNKNOWN,1X3-R/L OAK BOARD,617318,021-005-010-HARDWOOD,021-005-010,21-LUMBER,34447.24999999999,
FENCING,144205,DOVER WHITE VINYL GATE KIT,560588,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,21651.0,2163.0
FENCING,UNKNOWN,"6'X8' SPF 4"" GOTHIC FENCE PANEL",122351,021-008-011-WHITEWOOD PANELS,021-008-011,21-LUMBER,27601.0,448.0
LANDSCAPE,552531,"1X1-48"" GRADE STAKE",552531,021-007-004-STAKES,021-007-004,21-LUMBER,387470.5,7725.0
FENCING,UNKNOWN,DIS MICROSHADE EURO TOP,1001195566,021-008-018-EVENTS,021-008-018,21-LUMBER,0.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,1X8-8FT PT WEATHERSHIELD,131334,021-020-006-PT BOARDS,021-020-006,21-LUMBER,20127.0,
PRESSURE TREATED/DECKING,UNKNOWN,1X6-10FT PT WEATHERSHIELD,439620,021-020-006-PT BOARDS,021-020-006,21-LUMBER,144495.0,1350.0
BOARDS,UNKNOWN,1X2-R/L POPLAR BOARD,467551,021-005-010-HARDWOOD,021-005-010,21-LUMBER,129945.24000000008,4334.110000000001
FENCING,144730,DIS 4'X8' WOODBRIDGE PRIVACY PANEL,1001643817,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,-18.0,18.0
PRESSURE TREATED/DECKING,UNKNOWN,15/32 IN. 4X8 CCX GC PLYWOOD,1001771158,021-020-007-PT PLYWOOD,021-020-007,21-LUMBER,472984.0,6615.0
PLYWOOD,UNKNOWN,1/2 2X4 CORK BOARD,1000030343,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,6321.0,
CONCRETE,UNKNOWN,328' 16GA REBAR TIE WIRE,572365,022-009-009-CONCRETE FORMING PRODUCT,022-009-009,22-BUILDING MATERIALS,122793.0,2684.0
CONCRETE,UNKNOWN,36IN FLAT STEEL STAKE,545231,022-009-009-CONCRETE FORMING PRODUCT,022-009-009,22-BUILDING MATERIALS,104982.0,5718.0
LANDSCAPE,UNKNOWN,"2X3-30.5"" PT CONTOUR BALUSTER",1000043114,021-007-006-SPECIALTY,021-007-006,21-LUMBER,79.0,0.0
PRESSURE TREATED/DECKING,253866,2X4-8FT #1 PRIME PT GC,1002363881,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,22681.0,67.0
FENCING,73013298,6'X8' LINDEN PRO WHT PRIVACY PNL KIT,613633,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,67577.0,4745.0
BOARDS,UNKNOWN,"12"" CHROME SLATWALL HOOK",301681,021-005-020-SPECIALTY,021-005-020,21-LUMBER,11928.0,430.0
PRESSURE TREATED/DECKING,UNKNOWN,"3/8"" 4'X8' PT T1-11",273144,021-020-007-PT PLYWOOD,021-020-007,21-LUMBER,58088.0,908.0
FENCING,UNKNOWN,4X4-7FT PT PINE 3-HOLE END POST,862913,021-008-012-POST/RAIL,021-008-012,21-LUMBER,41078.0,1534.0
LANDSCAPE,188174,6' PT CDR-TN PT SOLID LIGHTNING RAIL,1000043815,021-007-006-SPECIALTY,021-007-006,21-LUMBER,1920.0,0.0
PLYWOOD,UNKNOWN,3/16 2X3 MARKER BOARD,1000019366,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,452.0,0.0
FENCING,118675,"4""X4""-74"" LAFAYETTE ROUTED LINE POST",324351,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,,
FENCING,UNKNOWN,"DIS 5""X5""X84""WHT VNL 3-RAIL LINE PST",1001298325,021-008-018-EVENTS,021-008-018,21-LUMBER,2.0,0.0
FENCING,153574,PRO SERIES 6 FT. X 8 FT. VINYL ANAHE,1000344801,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,1.0,
FENCING,208683,5/8 IN. X 3-1/2 IN. X 6 FT. MOULDED,1001856027,021-008-004-PRESSURE TREATED PICKETS,021-008-004,21-LUMBER,394.0,
FENCING,UNKNOWN,UFP S/O 21-8-62 FENCING,1004718897,021-008-062-S/O WOOD FENCE OTHER,021-008-062,21-LUMBER,53866.75,
LANDSCAPE,158703,4 IN. X 4 IN. STAINLESS PINE SOLAR P,1001862938,021-007-006-SPECIALTY,021-007-006,21-LUMBER,1005.0,
LANDSCAPE,235965,BLACK ADA 6 IN. INSIDE CORNER HAND R,1002802409,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,54.0,
LANDSCAPE,152092,STARBORN IPE WOOD PRO PLUG #8 2-1/2,1003550552,021-007-006-SPECIALTY,021-007-006,21-LUMBER,2.0,
BOARDS,263243,1 IN. X 6 IN. X 6 FT. BARN WOOD WHIT,1002063923,021-005-010-HARDWOOD,021-005-010,21-LUMBER,7274.0,
FENCING,153683,PRO SERIES 6 FT. X 5 FT. ANAHEIM PRI,1000345349,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,4.0,
FENCING,UNKNOWN,"5""X5"" VERANDA WHT VNL GOTH POST TOP",1000342449,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,1058.0,0.0
