C_State_Territory_Code,C_d_Market,C_d_Market_Nbr,C_d_Store,C_d_Store_Nbr,C_Str_OH_units_wkly,C_sales
FL,0002-MIAMI/FTL/WPALM,0002,6306-DIXIE HWY,6306,14237.0,11155932.929999657
OH,"0157-COLUMBUS,OH",0157,3811-CLEVELAND AVE,3811,12136.0,4467118.389999997
IN,0276-INDIANAPOLIS,0276,2012-SOUTHPORT,2012,15337.0,2988485.37999998
MD,0043-WASHINGTON DC,0043,2581-ELDERSBURG,2581,18487.0,6789587.069999816
GA,0001-ATLANTA,0001,0153-WEST COBB,0153,22727.0,7728984.449999853
CA,0021-SAN FRANCISCO BAY,0021,6672-EAST SAN JOSE,6672,5800.0,1134519.5799999048
FL,0002-MIAMI/FTL/WPALM,0002,6320-E PALM BEACH LAKES,6320,13696.0,2888855.2099999315
NC,0045-CHARLOTTE,0045,3645-W ASHEVILLE,3645,23798.7,9663073.28999987
CA,0048-LA,0048,1070-WEST HILLS,1070,4939.0,1084565.7500000005
NJ,0015-NEW JERSEY,0015,0974-MANTUA,0974,10368.0,3937301.629999885
NJ,0015-NEW JERSEY,0015,0976-EWING,0976,4582.0,1170949.079999882
GA,0001-ATLANTA,0001,6941-LITHIA SPGS-THORNTON RD,6941,23204.0,7034462.249999814
TX,0040-SAN ANTONIO,0040,6544-ALAMO HEIGHTS,6544,15514.0,6795073.119999983
NC,0282-DURHAM/RALEIGH,0282,3633-HIGH POINT,3633,32597.0,7984455.65999979
NC,0282-DURHAM/RALEIGH,0282,3652-FUQUAY VARINA,3652,51806.0,17397036.74999933
AL,0089-BIRMINGHAM,0089,0887-TRUSSVILLE,0887,1700.0,349961.3400000001
IL,0075-CHICAGO,0075,1907-NILES,1907,9687.0,2875682.5499999984
PA,0034-PHIL/PA/NJ/DE,0034,4188-KING OF PRUSSIA,4188,4767.0,924876.3399999575
MO,0109-ST. LOUIS,0109,3003-BRIDGETON,3003,12359.0,3682568.160000037
ME,0112-MAINE,0112,2412-NORTH WINDHAM,2412,6612.0,630206.7500000151
TX,0016-DALLAS/FT WORTH,0016,6537-MESQUITE,6537,30525.0,8745400.980000377
FL,0002-MIAMI/FTL/WPALM,0002,0277-MIAMI (CALLE OCHO),0277,38391.0,17489407.139999118
OH,0314-TOLEDO,0314,3866-SANDUSKY,3866,5706.0,377870.9700000007
AZ,0006-PHOENIX,0006,0472-N SCOTTSDALE,0472,5941.0,1444173.6099998895
AZ,0006-PHOENIX,0006,8488-NOGALES,8488,4763.0,723637.899999918
CA,0021-SAN FRANCISCO BAY,0021,0644-PITTSBURG,0644,4909.0,628283.0599999556
MI,0143-BAY CITY,0143,2714-SAGINAW,2714,4895.0,398305.2300000061
NH,0260-NEW HAMPSHIRE,0260,3401-LONDONDERRY,3401,10317.0,7042059.269999947
TX,0042-AUSTIN,0042,8418-FOUR POINTS - W AUSTIN,8418,4709.0,363909.53000000084
MN,0101-MINNESOTA,0101,2843-INVER GROVE HEIGHTS,2843,13528.0,2719471.1199998646
FL,0002-MIAMI/FTL/WPALM,0002,6310-N HOLLYWOOD/STIRLING,6310,34680.520000000004,15362661.999999747
NC,0045-CHARLOTTE,0045,3642-STATESVILLE,3642,16057.0,4823560.1600001035
NE,0371-CEN NEBRASKA,0371,3204-SOUTH LINCOLN,3204,16137.0,3008543.719999946
LA,0005-NEW ORLEANS,0005,0359-GRETNA,0359,4730.0,140780.64000000065
CO,0051-COLORADO,0051,1540-HIGHLANDS RANCH,1540,11401.0,5121753.709999995
NY,0116-NEW YORK CITY,0116,6844-BULOVA/QUEENS,6844,8848.0,2092674.0299999795
IL,0075-CHICAGO,0075,1917-GLENDALE HEIGHTS,1917,8538.0,632030.930000008
FL,0003-ORL/MEL/DAYTONA,0003,6851-POINCIANA,6851,15507.0,3255846.049999971
NC,0045-CHARLOTTE,0045,3602-MATTHEWS,3602,23517.0,5557246.099999987
OR,0077-CENTRAL OREGON,0077,4019-KLAMATH FALLS,4019,2850.0,782509.6899999273
NC,0045-CHARLOTTE,0045,3640-SOUTH CHARLOTTE,3640,15918.0,5070337.990000062
CA,0048-LA,0048,6613-N HOLLYWOOD,6613,6144.0,1737290.4499999941
OH,0139-CLEVELAND,0139,3824-MACEDONIA,3824,4236.0,436104.690000004
TX,0016-DALLAS/FT WORTH,0016,0518-SHERMAN,0518,29972.0,8562482.770000271
CO,0051-COLORADO,0051,"1547-BRIGHTON,CO",1547,8748.0,4638346.569999935
CT,0010-HARTFORD/S CONN,0010,6210-W HARTFORD,6210,7198.0,4619602.959999938
CA,0012-SAN DIEGO,0012,6634-FAIRMOUNT AVE,6634,11159.0,2850205.8599998215
CA,0047-INLAND/DESERT,0047,"6884-ONTARIO,CA",6884,6709.0,1041561.5999999896
OH,"0157-COLUMBUS,OH",0157,3885-CANAL WINCHESTER,3885,12013.0,4458755.269999938
FL,0050-PANHANDLE,0050,6301-FT WALTON,6301,1287.0,173977.69000000026
NY,0020-LONG ISLAND,0020,1211-BAYSHORE,1211,11420.0,5894838.7199997455
OH,"0157-COLUMBUS,OH",0157,3819-WEST BROAD,3819,13311.0,6091236.530000039
