C_SKU_Nbr,C_Short_Week,C_d_Market,C_d_Market_Nbr,C_d_Store,C_d_Store_Nbr,C_sku1,C_year1_1,C_Sales_Units,C_Sales_Units_LY,C_sales,C_sales_ly
1005945472,FW 202101,0019-NASHVILLE,0019,0776-SMYRNA,0776,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,-2.0,,-57.74,
1005945472,FW 202050,0019-NASHVILLE,0019,"0726-CLARKSVILLE, TN",0726,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,10.0,,288.7,
1005945472,FW 202051,0089-BIRMINGHAM,0089,0818-PELL CITY,0818,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,22.0,,635.14,
1003912161,FW 202101,0020-LONG ISLAND,0020,8466-SYOSSET,8466,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,2.0,,37.74,
1003912161,FW 202052,0020-LONG ISLAND,0020,8465-RACEWAY,8465,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,0.0,,0.0,
1005945472,FW 202049,0020-LONG ISLAND,0020,1208-ELMONT,1208,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,18.0,,519.66,
1005945472,FW 202101,0020-LONG ISLAND,0020,1222-RIVERHEAD,1222,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,51.0,,1472.37,
1005945472,FW 202101,0039-BOSTON/MA/NH,0039,2669-NATICK,2669,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,19.0,,548.53,
1005945472,FW 202050,0039-BOSTON/MA/NH,0039,2605-SOMERSET,2605,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,11.0,,317.57,
1005945472,FW 202102,0164-MILWAUKEE,0164,4906-EAST MADISON,4906,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,-11.0,,-317.57,
1005945472,FW 202052,0039-BOSTON/MA/NH,0039,"2680-PLYMOUTH,MA",2680,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,9.0,,246.83999999999997,
1005945472,FW 202052,0164-MILWAUKEE,0164,4906-EAST MADISON,4906,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,11.0,,317.57,
1005945472,FW 202051,0039-BOSTON/MA/NH,0039,2659-S ATTLEBORO,2659,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,7.0,,187.09,
1005945472,FW 202101,0101-MINNESOTA,0101,2807-MINNEAPOLIS NE,2807,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,3.0,,86.61,
1003912161,FW 202052,0020-LONG ISLAND,0020,1213-JERICHO,1213,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,4.0,,75.48,
1003912161,FW 202103,0039-BOSTON/MA/NH,0039,2674-WALTHAM,2674,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,6.0,,124.5,
1005945472,FW 202103,0020-LONG ISLAND,0020,1208-ELMONT,1208,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,8.0,,230.96,
1005945472,FW 202052,0101-MINNESOTA,0101,"2845-RICHFIELD,MN",2845,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,8.0,,230.96,
1003912161,FW 202103,0164-MILWAUKEE,0164,4923-WAUWATOSA,4923,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,20.75,
1005945472,FW 202052,0164-MILWAUKEE,0164,4923-WAUWATOSA,4923,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,1.0,,28.87,
1005945472,FW 202103,0020-LONG ISLAND,0020,1209-SELDEN,1209,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,-1.0,,-28.87,
1003912161,FW 202101,0019-NASHVILLE,0019,"0775-SPRING HILL,TN",0775,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,18.87,
1005945472,FW 202101,0019-NASHVILLE,0019,"0735-HENDERSONVILLE,TN",0735,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,11.0,,317.57,
1003912161,FW 202049,0089-BIRMINGHAM,0089,0804-N HUNTSVILLE,0804,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,1.0,,18.87,
1005945472,FW 202103,0164-MILWAUKEE,0164,4902-WEST ALLIS,4902,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,7.0,,202.09,
1005945472,FW 202103,0020-LONG ISLAND,0020,1222-RIVERHEAD,1222,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,14.0,,372.42,
1005945472,FW 202101,0164-MILWAUKEE,0164,4909-WEST MADISON,4909,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,2.0,,57.74,
1003912161,FW 202051,0039-BOSTON/MA/NH,0039,2669-NATICK,2669,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,4.0,,75.48,
1003912161,FW 202052,0020-LONG ISLAND,0020,1208-ELMONT,1208,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,1.0,,18.87,
1005945472,FW 202051,0039-BOSTON/MA/NH,0039,2650-ROCKLAND,2650,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,3.0,,77.95,
1005945472,FW 202101,0039-BOSTON/MA/NH,0039,2676-LEOMINSTER,2676,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,4.0,,90.62,
1003912161,FW 202050,0164-MILWAUKEE,0164,4902-WEST ALLIS,4902,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,2.0,,37.739999999999995,
1005945472,FW 202103,0101-MINNESOTA,0101,2840-MONTICELLO,2840,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,11.0,,285.82,
1003912161,FW 202051,0164-MILWAUKEE,0164,4926-RACINE,4926,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,7.0,,118.88,
1005945472,FW 202103,0101-MINNESOTA,0101,2825-CHASKA,2825,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,5.0,,144.35,
1005945472,FW 202102,0101-MINNESOTA,0101,2804-BROOKLYN PARK,2804,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,6.0,,173.22,
1005945472,FW 202101,0101-MINNESOTA,0101,2841-SHAKOPEE,2841,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,8.0,,230.96,
1005945472,FW 202101,0039-BOSTON/MA/NH,0039,4279-COVENTRY,4279,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,8.0,,180.48,
1003912161,FW 202101,0164-MILWAUKEE,0164,4941-SE MILWAUKEE,4941,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,5.66,
1005945472,FW 202102,0039-BOSTON/MA/NH,0039,2615-SEEKONK,2615,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,1.0,,28.87,
1003912161,FW 202102,0101-MINNESOTA,0101,2807-MINNEAPOLIS NE,2807,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,18.87,
1003912161,FW 202102,0039-BOSTON/MA/NH,0039,2651-BELLINGHAM,2651,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,18.67,
1005945472,FW 202103,0164-MILWAUKEE,0164,4915-BELLEVUE (E GREEN BAY),4915,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,-1.0,,-28.87,
1005945472,FW 202052,0164-MILWAUKEE,0164,4909-WEST MADISON,4909,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,-1.0,,-28.87,
1003912161,FW 202102,0019-NASHVILLE,0019,0778-NASHVILLE BRILEY PARKWAY,0778,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,18.87,
1003912161,FW 202050,0089-BIRMINGHAM,0089,"0810-JASPER,AL",0810,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,1.0,,18.87,
1003912161,FW 202050,0089-BIRMINGHAM,0089,0888-S HUNTSVILLE,0888,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,5.0,,94.35,
1003912161,FW 202050,0089-BIRMINGHAM,0089,0804-N HUNTSVILLE,0804,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,1.0,,18.87,
1003912161,FW 202102,0089-BIRMINGHAM,0089,0875-INVERNESS,0875,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,3.0,,56.61,
1003912161,FW 202050,0019-NASHVILLE,0019,"0735-HENDERSONVILLE,TN",0735,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,12.0,,226.44,
1005945472,FW 202052,0019-NASHVILLE,0019,"0734-FRANKLIN,TN",0734,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,1.0,,28.87,
1005945472,FW 202102,0089-BIRMINGHAM,0089,0805-PELHAM,0805,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,5.0,,144.35,
1005945472,FW 202051,0019-NASHVILLE,0019,"0726-CLARKSVILLE, TN",0726,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,6.0,,173.22,
1003912161,FW 202049,0019-NASHVILLE,0019,"0775-SPRING HILL,TN",0775,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,4.0,,75.48,
1003912161,FW 202049,0089-BIRMINGHAM,0089,0888-S HUNTSVILLE,0888,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,1.0,,18.87,
1005945472,FW 202103,0020-LONG ISLAND,0020,8465-RACEWAY,8465,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,25.0,,721.75,
1005945472,FW 202049,0039-BOSTON/MA/NH,0039,2615-SEEKONK,2615,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,12.0,,346.44,
