QUERY_ID,QUERY_NAME,REPORT_ID,STANDARD_REPORT_NAME,temp,VDDC_CSV_FilePath,QUERY_TXT_FilePath,RECURRENCE_FREQUENCY,REPORT_STATUS,NOTES
4,PRIMARY,4,CATEGORY_DASHBOARD,s,\\corp\dfs-root\HomeDir\us160212.UFPIAD\My Documents\Documents\Reporting\Recurring Reports\Category Dashboard\SOURCE DATA\WEBQUERYEXPORT_CategoryDashboard.csv,,Weekly (tues),ACTIVE,12/7/2020 - I think I saved this file in OneDrive temp - and I think the underlying DataConnection query was deleted from the web-view. not sure why
10,PRIMARY,10,KPI_REPORT,s,Q:\UFP_Purchasing\040_Eastern_Purchasing\Common\Home Depot Group\Recurring Reports\KPI Category Report\Data\RRKPInoSKUfilter_Full.csv,C:\Users\us160212\Documents\Python Projects\Reference Files\QUERY_TXT\KPIcategories_SQL.txt,Weekly (tues),ACTIVE,12/7/2020 - updated again using static datasource. - NEEDS TO BE REFRESHED TWICE
15,PRIMARY,15,SkuStore_ACTIVATION,s,Q:\UFP_Purchasing\040_Eastern_Purchasing\Common\Home Depot Group\Recurring Reports\SKU Activation Expansion Report\Source Data\WEBQUERYEXPORT_RRSKU-STOREActivation_Full.csv,,Weekly (tues),ACTIVE,
1,PRIMARY,1,NORTHWEST_PAINT,d,Q:\UFP_Purchasing\040_Eastern_Purchasing\Common\Home Depot Group\Recurring Reports\NorthWest Paint - weekly sales\SOURCE DATA\RR _ NorthWest Paint_Full.csv,,Weekly (tues),ACTIVE,
3,PRIMARY,3,TIMELESS,d,Q:\UFP_Purchasing\040_Eastern_Purchasing\Common\Home Depot Group\Recurring Reports\Timeless Weekly Sales\SOURCE DATA\LATESTDATA_TIMELESS.csv,,Weekly (tues),ACTIVE,
9,PRIMARY,9,PRECISION_SALES,d,Q:\UFP_Purchasing\040_Eastern_Purchasing\Common\Home Depot Group\Recurring Reports\Precision Weekly Sales\Source Data\WEB QUERY EXPORT - Precision Weekly Sales.csv,,Weekly (tues),ACTIVE,
11,PRIMARY,11,PT_REPORT_TARGET_PLANTS,d,Q:\UFP_Purchasing\040_Eastern_Purchasing\Common\Home Depot Group\Recurring Reports\PT Report-Target Plants\SOURCE DATA\WEBQUERYEXPORT_PTsales.csv,,Monthly (1st),ACTIVE,
12,PRIMARY,12,PICINC_TABLES,d,Q:\UFP_Purchasing\040_Eastern_Purchasing\Common\Home Depot Group\Recurring Reports\Picnic Table Sellthrough\Source Data\WEB QUERY EXPORT - Picnic Table Sellthrough.csv,C:\Users\us160212\Documents\Python Projects\Reference Files\QUERY_TXT\PicnicTableSellthrough_SQL.txt,Weekly (tues),ACTIVE,"12/29/2020 - Nicole - ""I like this report. we just need to add a couple things"""
13,PRIMARY,13,396_FORECASTING,d,Q:\UFP_Purchasing\040_Eastern_Purchasing\Common\Home Depot Group\Recurring Reports\396 Forecasting\SOURCE DATA\WEBQUERYEXPORT_396ForecastingData.csv,,Weekly (tues),ACTIVE,
14,OHNO_CurrOH_Trailing4wk,14,OHNO_IS,d,Q:\UFP_Purchasing\040_Eastern_Purchasing\Common\Home Depot Group\Recurring Reports\On Hand and no sales - for IS dept\SOURCE\WEBQUERYEXPORT_OHNO_CurrOH_Trailing4wk.csv,,Weekly (tues),ACTIVE,
16,OHNO_MktSales,14,OHNO_IS,d,Q:\UFP_Purchasing\040_Eastern_Purchasing\Common\Home Depot Group\Recurring Reports\On Hand and no sales - for IS dept\SOURCE\WEBQUERYEXPORT_OHNO_MarketSales.csv,,,ACTIVE,supporting query for the primary OHNO sales report. 
