"SKU Nbr","SKU","Store","Store Nbr","Market","Market Nbr","Year","Short Week","Sales Units","Sales Units LY","Sales $","Sales $ LY"
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0775-SPRING HILL,TN","0775","0019-NASHVILLE","0019","2020","FW 202049","4","","$75.48",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0707-MURFREESBORO","0707","0019-NASHVILLE","0019","2020","FW 202050","3","","$56.61",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","0726-CLARKSVILLE, TN","0726","0019-NASHVILLE","0019","2020","FW 202051","6","","$173.22",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","6105-LEVITTOWN (RELO #1201)","6105","0020-LONG ISLAND","0020","2020","FW 202052","2","","$57.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","4902-WEST ALLIS","4902","0164-MILWAUKEE","0164","2021","FW 202101","11","","$317.57",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2833-APPLE VALLEY","2833","0101-MINNESOTA","0101","2020","FW 202052","14","","$334.90",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4915-BELLEVUE (E GREEN BAY)","4915","0164-MILWAUKEE","0164","2021","FW 202101","3","","$56.61",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4918-WAUKESHA","4918","0164-MILWAUKEE","0164","2020","FW 202050","3","","$56.61",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4905-LA CROSSE","4905","0101-MINNESOTA","0101","2020","FW 202052","6","","$113.22",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1216-VALLEY STREAM","1216","0020-LONG ISLAND","0020","2020","FW 202052","(4)","","($75.48)",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2605-SOMERSET","2605","0039-BOSTON/MA/NH","0039","2020","FW 202052","3","","$56.61",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1213-JERICHO","1213","0020-LONG ISLAND","0020","2020","FW 202052","4","","$75.48",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1222-RIVERHEAD","1222","0020-LONG ISLAND","0020","2020","FW 202051","10","","$188.70",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","1209-SELDEN","1209","0020-LONG ISLAND","0020","2021","FW 202101","(8)","","($230.96)",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2615-SEEKONK","2615","0039-BOSTON/MA/NH","0039","2020","FW 202052","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2613-WAREHAM","2613","0039-BOSTON/MA/NH","0039","2020","FW 202052","1","","$18.87",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2605-SOMERSET","2605","0039-BOSTON/MA/NH","0039","2020","FW 202049","1","","$28.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1208-ELMONT","1208","0020-LONG ISLAND","0020","2020","FW 202049","2","","$37.74",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0805-PELHAM","0805","0089-BIRMINGHAM","0089","2020","FW 202052","6","","$113.22",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0734-FRANKLIN,TN","0734","0019-NASHVILLE","0019","2020","FW 202052","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0734-FRANKLIN,TN","0734","0019-NASHVILLE","0019","2021","FW 202101","(1)","","($18.87)",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0810-JASPER,AL","0810","0089-BIRMINGHAM","0089","2021","FW 202102","2","","$37.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","0723-BRENTWOOD","0723","0019-NASHVILLE","0019","2020","FW 202052","8","","$230.96",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2669-NATICK","2669","0039-BOSTON/MA/NH","0039","2020","FW 202051","4","","$75.48",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2669-NATICK","2669","0039-BOSTON/MA/NH","0039","2020","FW 202052","2","","$37.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2805-BLOOMINGTON","2805","0101-MINNESOTA","0101","2021","FW 202101","14","","$404.18",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2680-PLYMOUTH,MA","2680","0039-BOSTON/MA/NH","0039","2020","FW 202050","4","","$115.48",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2813-EAGAN","2813","0101-MINNESOTA","0101","2020","FW 202052","30","","$866.10",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","4923-WAUWATOSA","4923","0164-MILWAUKEE","0164","2020","FW 202052","1","","$28.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2807-MINNEAPOLIS NE","2807","0101-MINNESOTA","0101","2021","FW 202102","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2801-MAPLEWOOD","2801","0101-MINNESOTA","0101","2021","FW 202101","1","","$18.87",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2650-ROCKLAND","2650","0039-BOSTON/MA/NH","0039","2020","FW 202051","3","","$77.95",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","1282-SHIRLEY","1282","0020-LONG ISLAND","0020","2020","FW 202050","2","","$57.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2650-ROCKLAND","2650","0039-BOSTON/MA/NH","0039","2021","FW 202101","5","","$129.91",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","1222-RIVERHEAD","1222","0020-LONG ISLAND","0020","2020","FW 202052","9","","$259.83",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","8466-SYOSSET","8466","0020-LONG ISLAND","0020","2020","FW 202047","1","","$28.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0732-THOMPSON LANE","0732","0019-NASHVILLE","0019","2021","FW 202101","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0810-JASPER,AL","0810","0089-BIRMINGHAM","0089","2020","FW 202049","2","","$37.74",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0735-HENDERSONVILLE,TN","0735","0019-NASHVILLE","0019","2020","FW 202052","3","","$56.61",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","8466-SYOSSET","8466","0020-LONG ISLAND","0020","2020","FW 202048","2","","$37.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","4926-RACINE","4926","0164-MILWAUKEE","0164","2020","FW 202050","3","","$46.19",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4935-HUDSON","4935","0101-MINNESOTA","0101","2021","FW 202101","4","","$75.48",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4920-W GREEN BAY","4920","0164-MILWAUKEE","0164","2020","FW 202051","5","","$94.35",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4909-WEST MADISON","4909","0164-MILWAUKEE","0164","2020","FW 202051","7","","$132.09",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2803-COON RAPIDS","2803","0101-MINNESOTA","0101","2021","FW 202101","64","","$1,847.68",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4926-RACINE","4926","0164-MILWAUKEE","0164","2020","FW 202052","1","","$18.87",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","1208-ELMONT","1208","0020-LONG ISLAND","0020","2020","FW 202050","(18)","","($519.66)",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2659-S ATTLEBORO","2659","0039-BOSTON/MA/NH","0039","2020","FW 202051","3","","$56.61",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0810-JASPER,AL","0810","0089-BIRMINGHAM","0089","2020","FW 202051","3","","$52.83",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","0880-EASTWOOD","0880","0089-BIRMINGHAM","0089","2020","FW 202051","3","","$86.61",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","0805-PELHAM","0805","0089-BIRMINGHAM","0089","2021","FW 202101","6","","$173.22",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2669-NATICK","2669","0039-BOSTON/MA/NH","0039","2020","FW 202050","16","","$430.16",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2828-BLAINE","2828","0101-MINNESOTA","0101","2020","FW 202052","10","","$288.70",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4902-WEST ALLIS","4902","0164-MILWAUKEE","0164","2021","FW 202102","2","","$37.74",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4283-N KINGSTOWN","4283","0039-BOSTON/MA/NH","0039","2020","FW 202050","2","","$37.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2809-BURNSVILLE","2809","0101-MINNESOTA","0101","2020","FW 202052","3","","$86.61",""
