Class,Manuf_Part_Number_Plus,SKU_Nbr,Short_Week,SKU,Sales_Units,Sales_Dollars
021-008-FENCING,141568,249148,FW 202008,249148-6'X8' DOVER PRIVACY PANEL,1194,88989.479999999981
021-008-FENCING,141568,249148,FW 201916,249148-6'X8' DOVER PRIVACY PANEL,1647,125446.27
021-008-FENCING,141568,249148,FW 201909,249148-6'X8' DOVER PRIVACY PANEL,690,53024.749999999985
021-008-FENCING,141568,249148,FW 201903,249148-6'X8' DOVER PRIVACY PANEL,17,1147.0500000000002
021-008-FENCING,141568,249148,FW 202051,249148-6'X8' DOVER PRIVACY PANEL,522,39797.030000000021
021-008-FENCING,141568,249148,FW 202102,249148-6'X8' DOVER PRIVACY PANEL,8,671.88
021-008-FENCING,141568,249148,FW 202027,249148-6'X8' DOVER PRIVACY PANEL,859,66064.419999999984
021-008-FENCING,141568,249148,FW 202039,249148-6'X8' DOVER PRIVACY PANEL,1050,81971.409999999974
021-008-FENCING,141568,249148,FW 202028,249148-6'X8' DOVER PRIVACY PANEL,1198,92498.489999999991
021-008-FENCING,141568,249148,FW 202036,249148-6'X8' DOVER PRIVACY PANEL,1021,77567.29
021-008-FENCING,141568,249148,FW 201749,249148-6'X8' DOVER PRIVACY PANEL,-5,-400.6
021-008-FENCING,141568,249148,FW 201914,249148-6'X8' DOVER PRIVACY PANEL,1336,99890.22
021-008-FENCING,141568,249148,FW 202049,249148-6'X8' DOVER PRIVACY PANEL,463,35891.680000000008
021-008-FENCING,141568,249148,FW 201751,249148-6'X8' DOVER PRIVACY PANEL,8,644.97
021-008-FENCING,141568,249148,FW 202030,249148-6'X8' DOVER PRIVACY PANEL,1220,94517.4
021-008-FENCING,141568,249148,FW 202043,249148-6'X8' DOVER PRIVACY PANEL,726,54870.989999999991
021-008-FENCING,141568,249148,FW 201806,249148-6'X8' DOVER PRIVACY PANEL,22,1814.75
021-008-FENCING,141568,249148,FW 201922,249148-6'X8' DOVER PRIVACY PANEL,1470,113211.93
021-008-FENCING,141568,249148,FW 202009,249148-6'X8' DOVER PRIVACY PANEL,1441,106779.46999999999
021-008-FENCING,141568,249148,FW 202038,249148-6'X8' DOVER PRIVACY PANEL,540,42884.28
021-008-FENCING,141568,249148,FW 201941,249148-6'X8' DOVER PRIVACY PANEL,425,32239.7
021-008-FENCING,141568,249148,FW 201822,249148-6'X8' DOVER PRIVACY PANEL,597,45187.07999999998
021-008-FENCING,141568,249148,FW 201802,249148-6'X8' DOVER PRIVACY PANEL,29,1979.8000000000002
021-008-FENCING,141568,249148,FW 201814,249148-6'X8' DOVER PRIVACY PANEL,1038,71640.510000000024
021-008-FENCING,141568,249148,FW 202013,249148-6'X8' DOVER PRIVACY PANEL,4114,307640.38
021-008-FENCING,141568,249148,FW 201852,249148-6'X8' DOVER PRIVACY PANEL,2,160.24
021-008-FENCING,141568,249148,FW 202017,249148-6'X8' DOVER PRIVACY PANEL,3188,241236.68
021-008-FENCING,141568,249148,FW 201826,249148-6'X8' DOVER PRIVACY PANEL,393,29528.159999999996
021-008-FENCING,141568,249148,FW 202018,249148-6'X8' DOVER PRIVACY PANEL,2545,190880.65999999995
021-008-FENCING,141568,249148,FW 201939,249148-6'X8' DOVER PRIVACY PANEL,803,61411.68
021-008-FENCING,141568,249148,FW 201848,249148-6'X8' DOVER PRIVACY PANEL,52,4104.24
021-008-FENCING,141568,249148,FW 201920,249148-6'X8' DOVER PRIVACY PANEL,1363,103998.22
021-008-FENCING,141568,249148,FW 201932,249148-6'X8' DOVER PRIVACY PANEL,739,56739.669999999984
