SKU_Nbr,Market_Nbr,Sales_Units,Sales_Dollars
440659,0001,559481,579486.079999992
1001576423,0001,19478,376547.20000000036
1001754095,0001,41323,689829.4700000009
1001349041,0001,-22,-190.08
1004184089,0001,14848,58513.009999999289
778506,0001,8978,122327.7499999999
1005584806,0001,6,89.88
1001754832,0001,91737,922131.03000000084
219743,0001,6655,98578.859999999317
1000000560,0001,7751,541945.9300000004
688857,0001,348,5109.909999999998
1002922383,0001,3770,99564.099999999991
169757,0001,4196068,6709358.56999998
128619,0001,2355,78476.879999999976
300810,0001,16861,96655.99999999888
1005880726,0001,274,1833.9700000000009
440542,0001,29092,493630.99000000273
430792,0001,918269.32000000007,886143.34999999427
1005584382,0001,3,20.939999999999998
129163,0001,48393,1738449.6199999992
196088,0001,19583,389219.62999999948
1002275158,0001,17969,87208.8700000001
256276,0001,506657.5,5641247.1899999892
1001754827,0001,229396,2263263.11000001
440626,0001,11880,34285.810000000005
1005583935,0001,4,31.92
1001753877,0001,295452,2228607.400000005
1005880745,0001,231,2138.369999999999
1005584228,0001,9,88.820000000000022
1001753869,0001,107149,1417133.1700000034
248220,0001,72164,420152.88000000047
1001754077,0001,72062,1593521.540000008
1001753748,0001,344672,2487225.3200000026
1004183704,0001,35554,69706.17999999928
300888,0001,19464,142550.91999999972
107913,0001,22,119.90000000000002
260430,0001,20162,516287.76999999967
1005584813,0001,3,57.94
129430,0001,219226,774232.58999999822
1005447639,0001,7526,120861.82999999856
1001283617,0001,443,3292.2800000000025
1001754119,0001,22709,751306.85000000126
1005894240,0001,280,662.90999999999985
300969,0001,15427,272042.45000000583
824670,0001,44926,124118.83
777683,0001,7127,58222.109999999739
1000027606,0001,2496,22414.08
1005583839,0001,9,60.72
1005011955,0001,4179,73604.5999999997
926009,0001,965,10194.619999999981
925877,0001,207,2177.7399999999975
988017,0001,713,9668.6200000000026
1005584700,0001,7,83.86
430400,0001,1727980,1664575.5300000072
743748,0001,7881,120278.99999999833
1001754829,0001,230351,2922599.1600000062
1001754002,0001,51585,1120282.429999999
1001753993,0001,72932,966452.35999999964
988020,0001,489,6496.3000000000029
1001784156,0001,42265,179384.09000000014
155713,0001,16331,159937.13000000315
1005012003,0001,1089,38536.000000000095
1004718833,0001,206,7330.6799999999985
1002692328,0001,11,725.98000000000013
862913,0001,387,5674.4899999999952
315412,0001,133816,281145.50000000052
1002185326,0001,52893,83930.480000000331
259270,0001,50575,815959.40000000026
1001724066,0001,715,4074.0299999999938
1001311054,0001,68736,66450.029999999082
1001753906,0001,169873,1662196.4300000065
461448,0001,247,71.31
279388,0001,12933,165840.84999999841
1001753935,0001,125644,1950484.3600000017
1002549350,0001,14,241.82999999999998
958719,0001,8329,117954.830000003
884831,0001,551734,1460074.7699999977
778459,0001,1048,21033.449999999997
1002275150,0001,32244,120507.09999999849
1004718896,0001,25,3225
1004718897,0001,2192,91454.669999999984
619375,0001,24049,74285.25999999902
482452,0001,1031,6898.079999999999
103064,0001,14494,164365.67999999732
1002625925,0001,17772,17228.479999999989
462296,0001,484,282.60000000000008
1001753998,0001,84962,1392972.8700000057
834001,0001,4827,89938.940000000221
112345,0001,7539,163504.57000000103
1000043070,0001,1335,127386.59000000013
261023,0001,8342,467971.14999999991
1001753965,0001,-29,-213.73000000000002
1001784150,0001,25289,147723.72999999992
1005584432,0001,7,33.86
461443,0001,11227,48352.890000000123
738111,0001,8579,374352.18000000337
461487,0001,10745,57633.05000000001
1005583868,0001,3,29.94
1001754110,0001,22836,464356.59999999963
460219,0001,8560,28811.259999999951
445789,0001,29807,211901.41000001004
1001754835,0001,136575,1661697.3100000028
1003131893,0001,370,5065.3500000000031
555450,0001,4405,45720.310000000085
1002185331,0001,27144,82817.139999999359
440539,0001,13287,135653.01000000082
368253,0001,34170,653619.63000000047
1002341934,0001,27937,318006.50999999855
1005198185,0001,515.92000000000007,2668.4599999999996
1005584822,0001,2,37.47
1001754072,0001,50822,934714.8100000046
1001753958,0001,112947.3,729754.7100000059
1001753914,0001,180925,2142454.240000003
302477,0001,168326,636521.95999999938
695503,0001,7218,291214.83000000025
300896,0001,25324,346135.00000000693
1001771167,0001,22673,885737.40000000631
1005519452,0001,524,10234.849999999999
897671,0001,3062,150473.26000000013
1005198165,0001,562.51,1520.9499999999982
461902,0001,10815,83930.470000000671
300829,0001,16688,189289.16000000181
1001754013,0001,61378,867273.10000000137
435997,0001,74,516.5200000000001
1001753944,0001,213607,903505.709999997
1001753743,0001,578483,3409219.7700000107
1000032541,0001,8128,23480.33
1002341976,0001,16091,287883.93999999884
258132,0001,53783,1007150.7300000043
411310,0001,74394,655221.31000000134
1005198166,0001,525.83,2562.2999999999979
1001753988,0001,34125,394908.04000000085
1005415154,0001,130,7070.43
1001754821,0001,293745,1917914.7699999982
1002949952,0001,249,18456.219999999994
1001753972,0001,46897,369482.69999999925
300950,0001,14707,135278.26999999871
257974,0001,105209,1626653.1100000103
1005584708,0001,8,143.84
1002341955,0001,16411,245665.83999999988
1001754831,0001,166265,1321299.840000004
1004184121,0001,982,36065.089999999778
1001283607,0001,2166,3999.4199999999882
1000013847,0001,5374,114828.48
1002339010,0001,16620,381241.27000000351
258552,0001,8523,216345.57999999949
1005447571,0001,10599,151315.24000000066
461653,0001,311,126.30000000000001
1002185336,0001,14875,62418.579999999783
1000043124,0001,-4,-72.24
1001723869,0001,82,13837.570000000005
1001754091,0001,58571,1634827.4399999981
1001754825,0001,171770,1434765.1100000029
300853,0001,12593,154977.60999999978
248193,0001,7657,150705.14000000004
1000013893,0001,5409,49532.72
1001753827,0001,222501,1979724.9000000013
393518,0001,129755,1167722.2800000019
1000013966,0001,34,4736.1900000000005
437246,0001,117441,150146.2500000002
1001771158,0001,20066,648270.12000000116
256472,0001,4041,43699.219999999557
1002185329,0001,34560,79842.049999999872
103078,0001,15491,270557.10000000312
1000012648,0001,18205,251301.49000000409
1005584486,0001,3,26.94
1005583943,0001,30,177.61000000000004
433183,0001,31796,62760.389999999912
958751,0001,3932,106234.03999999962
1000040067,0001,6638,58915.03000000053
430269,0001,8942,120691.77000000008
1001754837,0001,120643,2051304.7700000012
315110,0001,6592,256921.649999999
987997,0001,3988,47724.289999999986
1005710701,0001,3,297.96000000000004
1005427985,0001,9071,42705.830000000075
300918,0001,11804,256536.53000000355
1001754117,0001,28587,736875.30999999959
440572,0001,7160,214605.08999999968
1004718703,0001,125,2359.7899999999995
1002275152,0001,15135,76843.769999999931
1005584724,0001,23,91.539999999999978
1001215929,0001,5409,147202.15000000087
1000043094,0001,2680,32738.189999999937
103095,0001,9111,207092.58000000467
260931,0001,29508,1319191.4400000002
1001753990,0001,106323,1179485.0300000038
1005583844,0001,6,41.88000000000001
862927,0001,1627,21367.180000000033
925778,0001,21446,156044.27999999712
1000032455,0001,3009,99181.709999999992
1001753849,0001,940354.36,4421706.2800000012
1001753967,0001,78115,682974.959999999
1001753960,0001,147027,874471.55000000459
862944,0001,179,2592.9299999999985
260691,0001,95585,2588592.7100000181
